Geo Point;Geo Shape;OBJECTID;ID_REF_ZDL;ID_REF_ZDE;GARES_ID;NOM_GARE;NOMLONG;NOM_IV;NUM_MOD;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;TERFER;TERTRAIN;TERRER;TERMETRO;TERTRAM;TERNAVETTE;TERVAL;IDREFLIGA;IDREFLIGC;LIGNE;COD_LIGF;LIGNE_CODE;INDICE_LIG;RESEAU;RES_COM;COD_RESF;RES_STIF;EXPLOITANT;NUM_PSR;IDF;PRINCIPAL;X;Y
48.8450615799, 2.40128901983;"{""type"": ""Point"", ""coordinates"": [2.401289019827348, 48.8450615799449, 0.0]}";240.0;44334.0;22167.0;641.0;Picpus;PICPUS;Picpus;2124.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01539;;6;12.0;6-106033;6;METRO;M6;3.0;110.0;RATP;0.0;1.0;0.0;656061.028;6860723.859
48.815930763, 2.37726720015;"{""type"": ""Point"", ""coordinates"": [2.377267200151936, 48.81593076304922, 0.0]}";241.0;44343.0;22397.0;642.0;Pierre Curie;PIERRE CURIE;Pierre et Marie Curie;2152.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01540;;7;13.0;7-107089;7;METRO;M7;3.0;110.0;RATP;0.0;1.0;0.0;654272.574;6857498.469
48.8823901507, 2.33729479057;"{""type"": ""Point"", ""coordinates"": [2.337294790567405, 48.88239015067237, 0.0]}";243.0;44345.0;22114.0;647.0;Pigalle;PIGALLE;Pigalle;2039.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01535;;2;7.0;2-112073;2;METRO;M2;3.0;110.0;RATP;0.0;1.0;0.0;651399.477;6864912.003
48.8836149922, 2.32783955611;"{""type"": ""Point"", ""coordinates"": [2.327839556114741, 48.88361499223493, 0.0]}";245.0;44372.0;22115.0;649.0;Place de Clichy;PLACE DE CLICHY;Place de Clichy;2041.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01535;;2;7.0;2-114065;2;METRO;M2;3.0;110.0;RATP;0.0;1.0;0.0;650707.239;6865054.059
48.8535754725, 2.35716257162;"{""type"": ""Point"", ""coordinates"": [2.357162571618337, 48.853575472503586, 0.0]}";267.0;44487.0;22378.0;673.0;Pont Marie (Cité des Arts);PONT-MARIE (CITE DES ARTS);Pont-Marie;2168.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01540;;7;13.0;7-107065;7;METRO;M7;3.0;110.0;RATP;0.0;1.0;0.0;652830.395;6861695.983
48.8714665781, 2.27708301705;"{""type"": ""Point"", ""coordinates"": [2.277083017052586, 48.87146657812765, 0.0]}";269.0;44509.0;22111.0;682.0;Porte Dauphine;PORTE DAUPHINE;Porte Dauphine;2049.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;M2;0;0;0;A01535;;2;7.0;2-102081;2;METRO;M2;3.0;110.0;RATP;0.0;1.0;0.0;646972.751;6863736.128
48.8479715406, 2.25774468038;"{""type"": ""Point"", ""coordinates"": [2.257744680376012, 48.84797154059771, 0.0]}";270.0;44504.0;21974.0;683.0;Porte d'Auteuil;PORTE D'AUTEUIL;Porte d'Auteuil;2267.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01543;;10;2.0;10-110033;10;METRO;M10;3.0;110.0;RATP;0.0;1.0;0.0;645529.733;6861136.866
48.8857931052, 2.2925823141;"{""type"": ""Point"", ""coordinates"": [2.292582314102913, 48.885793105231, 0.0]}";272.0;44511.0;22023.0;685.0;Porte de Champerret;PORTE DE CHAMPERRET;Porte de Champerret;2053.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01536;;3;8.0;3-103075;3;METRO;M3;3.0;110.0;RATP;0.0;1.0;0.0;648123.893;6865318.837
48.8535439161, 2.41062642574;"{""type"": ""Point"", ""coordinates"": [2.41062642573733, 48.853543916083595, 0.0]}";279.0;44520.0;21913.0;693.0;Porte de Montreuil;PORTE DE MONTREUIL;Porte de Montreuil;2229.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109087;9;METRO;M9;3.0;110.0;RATP;0.0;1.0;0.0;656753.32;6861661.865
48.8611688655, 2.36721086641;"{""type"": ""Point"", ""coordinates"": [2.367210866411708, 48.861168865487805, 0.0]}";283.0;45208.0;22201.0;780.0;Saint-Sébastien-Froissart;SAINT-SEBASTIEN FROISSART;Saint-Sébastien Froissart;2207.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01541;;8;15.0;8-108055;8;METRO;M8;3.0;110.0;RATP;0.0;1.0;0.0;653574.461;6862534.348
48.8516722456, 2.33125629137;"{""type"": ""Point"", ""coordinates"": [2.331256291370013, 48.851672245619895, 0.0]}";284.0;45120.0;22139.0;781.0;Saint-Sulpice;SAINT-SULPICE;Saint-Sulpice;2092.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01537;;4;10.0;4-104063;4;METRO;M4;3.0;110.0;RATP;0.0;1.0;0.0;650927.717;6861500.149
48.8470661332, 2.30740224062;"{""type"": ""Point"", ""coordinates"": [2.307402240619641, 48.84706613315245, 0.0]}";285.0;51612.0;21979.0;791.0;Ségur;SEGUR;Ségur;2275.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01543;;10;2.0;10-110049;10;METRO;M10;3.0;110.0;RATP;0.0;1.0;0.0;649172.863;6861003.084
48.8517620525, 2.3268225689;"{""type"": ""Point"", ""coordinates"": [2.326822568897497, 48.851762052495474, 0.0]}";288.0;44828.0;21980.0;799.0;Sèvres-Babylone;SEVRES-BABYLONE;Sèvres-Babylone;2315.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01545;;12;4.0;12-110055;12;METRO;M12;3.0;110.0;RATP;0.0;1.0;0.0;650602.465;6861512.9
48.8843851454, 2.36939198436;"{""type"": ""Point"", ""coordinates"": [2.36939198436133, 48.884385145353036, 0.0]}";294.0;44901.0;22368.0;810.0;Stalingrad;STALINGRAD;Stalingrad;2181.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01540;;7;13.0;7-105055;7;METRO;M7;3.0;110.0;RATP;0.0;1.0;0.0;653755.095;6865114.558
48.8973747955, 2.32894281278;"{""type"": ""Point"", ""coordinates"": [2.328942812779894, 48.89737479552952, 0.0]}";304.0;44525.0;22220.0;696.0;Porte de Saint-Ouen;PORTE DE SAINT-OUEN;Porte de Saint-Ouen;2350.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01546;;13;5.0;13-114071;13;METRO;M13;3.0;110.0;RATP;0.0;1.0;0.0;650801.147;6866583.384
48.8771105118, 2.40672924554;"{""type"": ""Point"", ""coordinates"": [2.40672924554309, 48.87711051176336, 0.0]}";309.0;44529.0;21947.0;698.0;Porte des Lilas;PORTE DES LILAS;Porte des Lilas;2356.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;M3bis;0;0;0;A01549;;3b;9.0;3b-111035;3b;METRO;M3b;3.0;110.0;RATP;0.0;1.0;0.0;656487.049;6864284.441
48.8213557838, 2.36929058735;"{""type"": ""Point"", ""coordinates"": [2.369290587346029, 48.82135578381408, 0.0]}";311.0;44507.0;22372.0;704.0;Porte d'Ivry;PORTE D'IVRY;Porte d'Ivry;2153.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01540;;7;13.0;7-107087;7;METRO;M7;3.0;110.0;RATP;0.0;1.0;0.0;653691.68;6858106.313
48.8465154042, 2.36587346941;"{""type"": ""Point"", ""coordinates"": [2.365873469406567, 48.8465154041934, 0.0]}";319.0;44583.0;22004.0;718.0;Quai de la Rapée;QUAI DE LA RAPEE;Quai de la Rapée;2105.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01538;;5;11.0;5-105073;5;METRO;M5;3.0;110.0;RATP;0.0;1.0;0.0;653463.258;6860905.8
48.8660696891, 2.35245974411;"{""type"": ""Point"", ""coordinates"": [2.352459744108265, 48.866069689115555, 0.0]}";326.0;44600.0;22142.0;726.0;Réaumur Sébastopol;REAUMUR-SEBASTOPOL;Réaumur-Sébastopol;2084.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01537;;4;10.0;4-104047;4;METRO;M4;3.0;110.0;RATP;0.0;1.0;0.0;652496.715;6863088.054
48.8471287213, 2.38702524211;"{""type"": ""Point"", ""coordinates"": [2.387025242109209, 48.84712872134134, 0.0]}";334.0;44637.0;22098.0;735.0;Reuilly Diderot;REUILLY-DIDEROT;Reuilly-Diderot;2202.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01541;;8;15.0;8-101043;8;METRO;M8;3.0;110.0;RATP;0.0;1.0;0.0;655016.024;6860961.737
48.8822269008, 2.32127492677;"{""type"": ""Point"", ""coordinates"": [2.321274926766349, 48.88222690081934, 0.0]}";340.0;44662.0;22110.0;746.0;Rome;ROME;Rome;2042.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01535;;2;7.0;2-102067;2;METRO;M2;3.0;110.0;RATP;0.0;1.0;0.0;650224.508;6864903.83
48.8555509402, 2.32571242217;"{""type"": ""Point"", ""coordinates"": [2.325712422170927, 48.85555094016533, 0.0]}";342.0;58717.0;22043.0;752.0;Rue du Bac;RUE DU BAC;Rue du Bac;2314.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01545;;12;4.0;12-112055;12;METRO;M12;3.0;110.0;RATP;0.0;1.0;0.0;650524.602;6861934.883
48.5291489659, 3.25536814867;"{""type"": ""Point"", ""coordinates"": [3.25536814866624, 48.5291489659299, 0.0]}";998.0;47171.0;41042.0;817.0;SAINTE-COLOMBE-SEPTVEILLES;SAINTE-COLOMBE-SEPTVEILLES;SAINTE-COLOMBE SEPTVEILLES;2969.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01844;;LIGNE P;18.0;LIGNE P-437;P;TRAIN;LIGNE P;1.0;850.0;SNCF;116178.0;1.0;0.0;718855.022;6825465.017
48.6528114014, 2.31273625106;"{""type"": ""Point"", ""coordinates"": [2.312736251060262, 48.65281140144265, 0.0]}";999.0;43188.0;41306.0;818.0;SAINTE-GENEVIÈVE-DES-BOIS;SAINTE-GENEVIEVE-DES-BOIS;SAINTE-GENEVIEVE-DES-BOIS;2555.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-159;C;RER;RER C;2.0;803.0;SNCF;545210.0;1.0;0.0;649376.316;6839402.35
48.8232666341, 2.54267979538;"{""type"": ""Point"", ""coordinates"": [2.542679795377867, 48.82326663412928, 0.0]}";1013.0;43223.0;41022.0;912.0;VILLIERS-SUR-MARNE-PLESSIS-TRÉVISE;VILLIERS-SUR-MARNE-PLESSIS-TREVISE;VILLIERS-SUR-MARNE LE PLESSIS-TREVISE;2925.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01843;;RER E;28.0;RER E-418;E;RER;RER E;2.0;805.0;SNCF;113795.0;1.0;0.0;666423.426;6858231.072
48.8007184639, 2.17138981276;"{""type"": ""Point"", ""coordinates"": [2.171389812756379, 48.80071846386355, 0.0]}";1017.0;46688.0;41221.0;916.0;VIROFLAY R.G;VIROFLAY RIVE GAUCHE;VIROFLAY RIVE GAUCHE;2542.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-73;C;RER;RER C;2.0;803.0;SNCF;382887.0;1.0;0.0;639137.683;6855946.035
48.7952802463, 2.1360504883;"{""type"": ""Point"", ""coordinates"": [2.136050488302483, 48.795280246262216, 0.0]}";1034.0;43219.0;41207.0;928.0;VERSAILLES-CHANTIERS;VERSAILLES-CHANTIERS;VERSAILLES-CHANTIERS;2825.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01855;;LIGNE U;21.0;LIGNE U-108;U;TRAIN;LIGNE U;1.0;855.0;SNCF;393009.0;1.0;1.0;636535.457;6855369.22
48.7952802463, 2.1360504883;"{""type"": ""Point"", ""coordinates"": [2.136050488302483, 48.795280246262216, 0.0]}";1035.0;43219.0;41207.0;886.0;VERSAILLES-CHANTIERS;VERSAILLES-CHANTIERS;VERSAILLES-CHANTIERS;2758.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01847;;LIGNE N;22.0;LIGNE N-108;N;TRAIN;LIGNE N;1.0;852.0;SNCF;393009.0;1.0;1.0;636535.457;6855369.22
48.809482263, 2.13508745661;"{""type"": ""Point"", ""coordinates"": [2.135087456613032, 48.8094822630178, 0.0]}";1037.0;44602.0;41190.0;884.0;VERSAILLES R.D;VERSAILLES RIVE DROITE;VERSAILLES RIVE DROITE;2728.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;TRAIN_L;TRAIN_L;0;0;0;0;0;A02176;;LIGNE L;30.0;LIGNE L-147;L;TRAIN;LIGNE L;1.0;854.0;SNCF;382861.0;1.0;1.0;636482.013;6856949.016
48.9203793748, 2.18535337629;"{""type"": ""Point"", ""coordinates"": [2.185353376288786, 48.920379374823604, 0.0]}";1038.0;43082.0;411357.0;1015.0;HOUILLES-CARRIÈRES-SUR-SEINE;HOUILLES-CARRIERES-SUR-SEINE;HOUILLES CARRIÈRES-SUR-SEINE;2695.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A02176;;LIGNE L;30.0;LIGNE L-141;L;TRAIN;LIGNE L;1.0;854.0;SNCF;386409.0;1.0;0.0;640300.556;6869240.401
48.9910125487, 2.07376988648;"{""type"": ""Point"", ""coordinates"": [2.073769886475506, 48.99101254867934, 0.0]}";1039.0;43114.0;411350.0;202.0;CONFLANS-FIN-D'OISE;CONFLANS-FIN-D'OISE;CONFLANS FIN D'OISE;2440.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01856;;RER A;24.0;RER A-128;A;RER;RER A;2.0;801.0;SNCF;381459.0;1.0;1.0;632215.912;6877184.771
48.8768369549, 2.32473804682;"{""type"": ""Point"", ""coordinates"": [2.324738046824975, 48.87683695486879, 0.0]}";1041.0;58566.0;41194.0;1016.0;SAINT-LAZARE;SAINT-LAZARE;SAINT-LAZARE;2650.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;TRAIN_J;TRAIN_J;0;0;0;0;0;A01852;;LIGNE J;29.0;LIGNE J-329;J;TRAIN;LIGNE J;1.0;854.0;SNCF;384008.0;1.0;1.0;650473.351;6864302.327
48.8542689936, 2.48916746095;"{""type"": ""Point"", ""coordinates"": [2.489167460948015, 48.85426899363537, 0.0]}";1058.0;47900.0;412820.0;868.0;VAL-DE-FONTENAY;VAL-DE-FONTENAY;VAL DE FONTENAY;2928.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01843;;RER E;28.0;RER E-355;E;RER;RER E;2.0;805.0;SNCF;758300.0;1.0;1.0;662516.889;6861702.338
48.7083664326, 2.4143588798;"{""type"": ""Point"", ""coordinates"": [2.414358879800508, 48.7083664325953, 0.0]}";1061.0;45735.0;41339.0;893.0;VIGNEUX-SUR-SEINE;VIGNEUX-SUR-SEINE;VIGNEUX-SUR-SEINE;2875.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-176;D;RER;RER D;2.0;804.0;SNCF;681304.0;1.0;0.0;656907.474;6845518.339
48.5926277413, 2.46180638884;"{""type"": ""Point"", ""coordinates"": [2.461806388842185, 48.59262774128592, 0.0]}";1062.0;47904.0;41356.0;894.0;VILLABÉ;VILLABE;VILLABÉ;2897.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-207;D;RER;RER D;2.0;804.0;SNCF;681619.0;1.0;0.0;660310.99;6832626.527
48.9531483876, 2.60313530512;"{""type"": ""Point"", ""coordinates"": [2.603135305118449, 48.9531483875826, 0.0]}";1068.0;46725.0;411403.0;904.0;VILLEPARISIS-MITRY-LE-NEUF;VILLEPARISIS-MITRY-LE-NEUF;VILLEPARISIS MITRY-LE-NEUF;2487.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01857;;RER B;25.0;RER B-8;B;RER;RER B;2.0;802.0;SNCF;271510.0;1.0;0.0;670934.634;6872649.501
48.9627095133, 2.51264462782;"{""type"": ""Point"", ""coordinates"": [2.512644627819613, 48.962709513300425, 0.0]}";1069.0;58793.0;40962.0;905.0;VILLEPINTE;VILLEPINTE;VILLEPINTE;2490.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01857;;RER B;25.0;RER B-407;B;RER;RER B;2.0;802.0;SNCF;271452.0;1.0;0.0;664313.965;6873749.835
48.8236532688, 1.99286453652;"{""type"": ""Point"", ""coordinates"": [1.992864536517492, 48.823653268760744, 0.0]}";1070.0;43221.0;41233.0;906.0;VILLEPREUX-LES-CLAYES;VILLEPREUX-LES-CLAYES;VILLEPREUX-LES-CLAYES;2769.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01847;;LIGNE N;22.0;LIGNE N-86;N;TRAIN;LIGNE N;1.0;852.0;SNCF;393413.0;1.0;0.0;626057.981;6858648.388
48.9937771469, 2.41618748893;"{""type"": ""Point"", ""coordinates"": [2.416187488926984, 48.99377714689271, 0.0]}";1071.0;43222.0;41097.0;909.0;VILLIERS-LE-BEL-GONESSE-ARNOUVILLE;VILLIERS-LE-BEL-GONESSE-ARNOUVILLE;VILLIERS-LE-BEL GONESSE ARNOUVILLE;2605.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;;RER D;27.0;RER D-256;D;RER;RER D;2.0;804.0;SNCF;276220.0;1.0;0.0;657276.664;6877252.6
49.4262015914, 2.08850697394;"{""type"": ""Point"", ""coordinates"": [2.088506973940326, 49.426201591394786, 0.0]}";1072.0;411317.0;411316.0;1020.0;BEAUVAIS;BEAUVAIS;BEAUVAIS;0.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;GL;GL;0;0;0;0;0;;;GRD LIGNES;0.0;GRD LIGNES-469;GL;GRANDES LIGNES;GL;0.0;0.0;SNCF;0.0;0.0;0.0;633853.135;6925576.267
48.448384567, 1.48087093272;"{""type"": ""Point"", ""coordinates"": [1.480870932723717, 48.448384567032775, 0.0]}";1076.0;411507.0;411506.0;1025.0;CHARTRES;CHARTRES;CHARTRES;0.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;GL;GL;0;0;0;0;0;;;GRD LIGNES;0.0;GRD LIGNES-474;GL;GRANDES LIGNES;GL;0.0;0.0;SNCF;0.0;0.0;0.0;587669.627;6817537.286
48.5104473928, 1.55777636925;"{""type"": ""Point"", ""coordinates"": [1.557776369250225, 48.510447392846686, 0.0]}";1080.0;411498.0;411497.0;1029.0;JOUY;JOUY;JOUY;0.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;;;GRD LIGNES;0.0;GRD LIGNES-478;GL;GRANDES LIGNES;GL;0.0;0.0;SNCF;0.0;0.0;0.0;593481.667;6824328.388
48.4824105013, 1.52235765163;"{""type"": ""Point"", ""coordinates"": [1.522357651628501, 48.48241050129282, 0.0]}";1082.0;411504.0;411503.0;1030.0;LA VILLETTE-SAINT-PREST;LA VILLETTE-SAINT-PREST;LA VILLETTE-SAINT-PREST;0.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;;;GRD LIGNES;0.0;GRD LIGNES-479;GL;GRANDES LIGNES;GL;0.0;0.0;SNCF;0.0;0.0;0.0;590807.729;6821260.684
48.4452537046, 1.77958370837;"{""type"": ""Point"", ""coordinates"": [1.779583708371134, 48.44525370458759, 0.0]}";1083.0;59049.0;41325.0;1033.0;AUNEAU;AUNEAU;AUNEAU;0.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;;;GRD LIGNES;0.0;GRD LIGNES-482;GL;GRANDES LIGNES;GL;0.0;0.0;SNCF;0.0;0.0;0.0;609750.271;6816806.142
48.1864372096, 1.38624502094;"{""type"": ""Point"", ""coordinates"": [1.38624502094351, 48.18643720958249, 0.0]}";1085.0;411446.0;411445.0;1035.0;BONNEVAL;BONNEVAL;BONNEVAL;0.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;;;GRD LIGNES;0.0;GRD LIGNES-484;GL;GRANDES LIGNES;GL;0.0;0.0;SNCF;0.0;0.0;0.0;580078.59;6788567.706
48.3426136802, 3.07174645374;"{""type"": ""Point"", ""coordinates"": [3.071746453743138, 48.342613680163964, 0.0]}";1088.0;411464.0;411463.0;1038.0;VILLENEUVE-LA-GUYARD;VILLENEUVE-LA-GUYARD;VILLENEUVE-LA-GUYARD;0.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;;;GRD LIGNES;0.0;GRD LIGNES-487;GL;GRANDES LIGNES;GL;0.0;0.0;SNCF;0.0;0.0;0.0;705316.224;6804702.417
48.8390812802, 2.38302808115;"{""type"": ""Point"", ""coordinates"": [2.383028081146453, 48.83908128024195, 0.0]}";1097.0;58728.0;41397.0;1019.0;PARIS-BERCY;PARIS-BERCY;PARIS-BERCY;0.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;GL;GL;0;0;0;0;0;;;GRD LIGNES;0.0;GRD LIGNES-468;GL;GRANDES LIGNES;GL;0.0;0.0;SNCF;0.0;1.0;0.0;654715.701;6860069.225
48.73095467, 1.36997423412;"{""type"": ""Point"", ""coordinates"": [1.369974234117775, 48.73095466998517, 0.0]}";1098.0;411492.0;411491.0;1047.0;DREUX;DREUX;DREUX;0.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;TRAIN_N;TRAIN_N;0;0;0;0;0;A01847;;LIGNE N;22.0;LIGNE N-496;N;TRAIN;LIGNE N;1.0;852.0;SNCF;0.0;0.0;0.0;580119.033;6849107.331
49.2639441445, 2.46891411535;"{""type"": ""Point"", ""coordinates"": [2.468914115351039, 49.26394414450533, 0.0]}";1104.0;411440.0;411439.0;1053.0;CREIL;CREIL;CREIL;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;RER_D;0;RER_D;0;0;0;0;A01842;;RER D;27.0;RER D-502;D;RER;RER D;2.0;804.0;SNCF;0.0;0.0;0.0;661337.234;6907273.654
49.1667750398, 2.36230352857;"{""type"": ""Point"", ""coordinates"": [2.362303528565357, 49.166775039807895, 0.0]}";1106.0;411332.0;411331.0;1057.0;BORAN-SUR-OISE;BORAN-SUR-OISE;BORAN-SUR-OISE;0.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01849;;LIGNE H;20.0;LIGNE H-505;H;TRAIN;LIGNE H;1.0;853.0;SNCF;0.0;0.0;0.0;653488.908;6896523.012
49.2138563248, 2.41736939105;"{""type"": ""Point"", ""coordinates"": [2.417369391049351, 49.21385632476746, 0.0]}";1108.0;411329.0;411328.0;1055.0;SAINT-LEU DESSERENT;SAINT-LEU DESSERENT;SAINT-LEU DESSERENT;0.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01849;;LIGNE H;20.0;LIGNE H-503;H;TRAIN;LIGNE H;1.0;853.0;SNCF;0.0;0.0;0.0;657543.761;6901728.705
49.2613222981, 1.87258946785;"{""type"": ""Point"", ""coordinates"": [1.872589467854498, 49.261322298147846, 0.0]}";1110.0;411345.0;411344.0;1060.0;CHAUMONT-EN-VEXIN;CHAUMONT-EN-VEXIN;CHAUMONT-EN-VEXIN;0.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01852;;LIGNE J;29.0;LIGNE J-508;J;TRAIN;LIGNE J;1.0;854.0;SNCF;0.0;0.0;0.0;617923.127;6907437.932
49.2008770791, 2.83810847804;"{""type"": ""Point"", ""coordinates"": [2.838108478036551, 49.20087707910112, 0.0]}";1115.0;411387.0;411386.0;1064.0;ORMOY-VILLERS;ORMOY-VILLERS;ORMOY VILLERS;0.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A02175;;LIGNE K;36.0;LIGNE K-512;K;TRAIN;LIGNE K;1.0;853.0;SNCF;0.0;0.0;0.0;688199.921;6900140.455
48.9692787821, 3.32188681725;"{""type"": ""Point"", ""coordinates"": [3.32188681725306, 48.969278782071456, 0.0]}";1120.0;411384.0;411383.0;1071.0;NOGENT-L'ARTAUD-CHARLY;NOGENT-L'ARTAUD-CHARLY;NOGENT L'ARTAUD CHARLY;0.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01844;;LIGNE P;18.0;LIGNE P-519;P;TRAIN;LIGNE P;1.0;850.0;SNCF;0.0;0.0;0.0;723566.897;6874418.286
49.0379489417, 3.40959736125;"{""type"": ""Point"", ""coordinates"": [3.409597361250414, 49.03794894167489, 0.0]}";1121.0;411378.0;411377.0;1069.0;CHATEAU-THIERRY;CHATEAU-THIERRY;CHATEAU THIERRY;0.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;TRAIN_P;TRAIN_P;0;0;0;0;0;A01844;;LIGNE P;18.0;LIGNE P-517;P;TRAIN;LIGNE P;1.0;850.0;SNCF;0.0;0.0;0.0;729948.947;6882084.745
49.1354741446, 3.07562656432;"{""type"": ""Point"", ""coordinates"": [3.075626564318928, 49.13547414464918, 0.0]}";1122.0;411375.0;411374.0;1068.0;MAREUIL-SUR-OURCQ;MAREUIL-SUR-OURCQ;MAREUIL-SUR-OURCQ;0.0;Train;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01844;;LIGNE P;18.0;LIGNE P-516;P;TRAIN;LIGNE P;1.0;850.0;SNCF;0.0;0.0;0.0;705519.3;6892856.368
48.9601628869, 2.36584210766;"{""type"": ""Point"", ""coordinates"": [2.365842107661724, 48.96016288691666, 0.0]}";1130.0;43179.0;411416.0;1204.0;Gare de Pierrefitte Stains;GARE DE PIERREFITTE STAINS;Gare de Pierrefitte Stains;0.0;Tramway;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A02225;C01999;T11;0.0;T11-415;11;TRAMWAY;T11;0.0;0.0;SNCF;0.0;1.0;0.0;653562.449500002;6873542.9829
